sentence,entity_1,entity_2,relation_label,entity_1_original,entity_2_original,input_text
"BackgroundNeuropsychological (NP) assessment is crucial for diagnosing prodromal 
and Alzheimer's disease and related dementia (ADRD) syndromes.",Alzheimer's disease,dementia,associated_with,Alzheimer's disease,dementia,"BackgroundNeuropsychological (NP) assessment is crucial for diagnosing prodromal 
and [E1] Alzheimer's disease [/E1] and related [E2] dementia [/E2] (ADRD) syndromes."
"BackgroundNeuropsychological (NP) assessment is crucial for diagnosing prodromal 
and Alzheimer's disease and related dementia (ADRD) syndromes.",Alzheimer's disease,adrd,associated_with,Alzheimer's disease,ADRD,"BackgroundNeuropsychological (NP) assessment is crucial for diagnosing prodromal 
and [E1] Alzheimer's disease [/E1] and related dementia ([E2] ADRD [/E2]) syndromes."
"Author information:
(1)Department of Neurology, Mayo Clinic, Rochester, MN, USA.
(2)Department of Laboratory Medicine and Pathology, University of Minnesota, 
Minneapolis, MN, USA.
(3)Department of Epidemiology and Prevention, Wake Forest University, 
Winston-Salem, NC, USA.
(4)Department of Psychiatry & Psychology, Mayo Clinic, Rochester, MN, USA.
(5)Department of Radiology, Mayo Clinic, Rochester, MN, USA.

BackgroundStudies suggest that plasma Alzheimer's disease (AD) biomarkers may 
aid in the overall diagnosis of AD, but their utility among patients with 
atypical clinical presentations of AD are unknown.",Alzheimer's disease,ad,equivalent,Alzheimer's disease,AD,"Author information:
(1)Department of Neurology, Mayo Clinic, Rochester, MN, USA.
(2)Department of Laboratory Medicine and Pathology, University of Minnesota, 
Minneapolis, MN, USA.
(3)Department of Epidemiology and Prevention, Wake Forest University, 
Winston-Salem, NC, USA.
(4)Department of Psychiatry & Psychology, Mayo Clinic, Rochester, MN, USA.
(5)Department of Radiology, Mayo Clinic, Rochester, MN, USA.

BackgroundStudies suggest that plasma [E1] Alzheimer's disease [/E1] ([E2] AD [/E2]) biomarkers may 
aid in the overall diagnosis of AD, but their utility among patients with 
atypical clinical presentations of AD are unknown."
"Proteins involved 
in the pathogenesis of Parkinson's disease (PD), Alzheimer's disease (AD), and 
amyotrophic lateral sclerosis (ALS) condensed and underwent ATP-dependent liquid 
phase separation in vitro.",Alzheimer's disease,amyotrophic lateral sclerosis,ambiguous,Alzheimer's disease,amyotrophic lateral sclerosis,"Proteins involved 
in the pathogenesis of Parkinson's disease (PD), [E1] Alzheimer's disease [/E1] (AD), and 
[E2] amyotrophic lateral sclerosis [/E2] (ALS) condensed and underwent ATP-dependent liquid 
phase separation in vitro."
"Proteins involved 
in the pathogenesis of Parkinson's disease (PD), Alzheimer's disease (AD), and 
amyotrophic lateral sclerosis (ALS) condensed and underwent ATP-dependent liquid 
phase separation in vitro.",Alzheimer's disease,ad,equivalent,Alzheimer's disease,AD,"Proteins involved 
in the pathogenesis of Parkinson's disease (PD), [E1] Alzheimer's disease [/E1] ([E2] AD [/E2]), and 
amyotrophic lateral sclerosis (ALS) condensed and underwent ATP-dependent liquid 
phase separation in vitro."
"Proteins involved 
in the pathogenesis of Parkinson's disease (PD), Alzheimer's disease (AD), and 
amyotrophic lateral sclerosis (ALS) condensed and underwent ATP-dependent liquid 
phase separation in vitro.",Alzheimer's disease,pd,ambiguous,Alzheimer's disease,PD,"Proteins involved 
in the pathogenesis of Parkinson's disease ([E2] PD [/E2]), [E1] Alzheimer's disease [/E1] (AD), and 
amyotrophic lateral sclerosis (ALS) condensed and underwent ATP-dependent liquid 
phase separation in vitro."
"Proteins involved 
in the pathogenesis of Parkinson's disease (PD), Alzheimer's disease (AD), and 
amyotrophic lateral sclerosis (ALS) condensed and underwent ATP-dependent liquid 
phase separation in vitro.",Alzheimer's disease,parkinson's disease,ambiguous,Alzheimer's disease,Parkinson's disease,"Proteins involved 
in the pathogenesis of [E2] Parkinson's disease [/E2] (PD), [E1] Alzheimer's disease [/E1] (AD), and 
amyotrophic lateral sclerosis (ALS) condensed and underwent ATP-dependent liquid 
phase separation in vitro."
"Proteins involved 
in the pathogenesis of Parkinson's disease (PD), Alzheimer's disease (AD), and 
amyotrophic lateral sclerosis (ALS) condensed and underwent ATP-dependent liquid 
phase separation in vitro.",Alzheimer's disease,als,ambiguous,Alzheimer's disease,ALS,"Proteins involved 
in the pathogenesis of Parkinson's disease (PD), [E1] Alzheimer's disease [/E1] (AD), and 
amyotrophic lateral sclerosis ([E2] ALS [/E2]) condensed and underwent ATP-dependent liquid 
phase separation in vitro."
"The core target proteins among 
the duplicate targets were primarily involved in pathways related to cancer, 
lipid and atherosclerosis, hepatitis B, proteoglycans in cancer, and Alzheimer's 
disease.",Alzheimer's disease,atherosclerosis,ambiguous,"Alzheimer's 
disease",atherosclerosis,"The core target proteins among 
the duplicate targets were primarily involved in pathways related to cancer, 
lipid and [E2] atherosclerosis [/E2], hepatitis B, proteoglycans in cancer, and [E1] Alzheimer's 
disease [/E1]."
"The core target proteins among 
the duplicate targets were primarily involved in pathways related to cancer, 
lipid and atherosclerosis, hepatitis B, proteoglycans in cancer, and Alzheimer's 
disease.",Alzheimer's disease,cancer,ambiguous,"Alzheimer's 
disease",cancer,"The core target proteins among 
the duplicate targets were primarily involved in pathways related to [E2] cancer [/E2], 
lipid and atherosclerosis, hepatitis B, proteoglycans in cancer, and [E1] Alzheimer's 
disease [/E1]."
"The core target proteins among 
the duplicate targets were primarily involved in pathways related to cancer, 
lipid and atherosclerosis, hepatitis B, proteoglycans in cancer, and Alzheimer's 
disease.",Alzheimer's disease,hepatitis b,ambiguous,"Alzheimer's 
disease",hepatitis B,"The core target proteins among 
the duplicate targets were primarily involved in pathways related to cancer, 
lipid and atherosclerosis, [E2] hepatitis B [/E2], proteoglycans in cancer, and [E1] Alzheimer's 
disease [/E1]."
"Oral 
administration of ZSS hot water extract ameliorated AÃÂ² and tau pathology and 
cognitive impairment in mouse models of Alzheimer's disease and frontotemporal 
dementia.",Alzheimer's disease,dementia,ambiguous,Alzheimer's disease and frontotemporal,dementia,"Oral 
administration of ZSS hot water extract ameliorated AÃÂ² and tau pathology and 
cognitive impairment in mouse models of [E1] Alzheimer's disease and frontotemporal [/E1] 
[E2] dementia [/E2]."
"Oral 
administration of ZSS hot water extract ameliorated AÃÂ² and tau pathology and 
cognitive impairment in mouse models of Alzheimer's disease and frontotemporal 
dementia.",Alzheimer's disease,cognitive impairment,associated_with,Alzheimer's disease and frontotemporal,cognitive impairment,"Oral 
administration of ZSS hot water extract ameliorated AÃÂ² and tau pathology and 
[E2] cognitive impairment [/E2] in mouse models of [E1] Alzheimer's disease and frontotemporal [/E1] 
dementia."
"Virtual reality as a complementary therapy in the rehabilitation of balance and 
gait disorders in patients with mild cognitive impairment and Alzheimer's 
disease: Systematic review.",Alzheimer's disease,cognitive impairment,ambiguous,"Alzheimer's 
disease",cognitive impairment,"Virtual reality as a complementary therapy in the rehabilitation of balance and 
gait disorders in patients with mild [E2] cognitive impairment [/E2] and [E1] Alzheimer's 
disease [/E1]: Systematic review."
"Virtual reality as a complementary therapy in the rehabilitation of balance and 
gait disorders in patients with mild cognitive impairment and Alzheimer's 
disease: Systematic review.",Alzheimer's disease,gait disorders,associated_with,"Alzheimer's 
disease",gait disorders,"Virtual reality as a complementary therapy in the rehabilitation of balance and 
[E2] gait disorders [/E2] in patients with mild cognitive impairment and [E1] Alzheimer's 
disease [/E1]: Systematic review."
"ObjectiveTo analyse the benefits of virtual reality in the management of balance 
and gait disorders in people with Alzheimer's disease and cognitive 
impairment.",Alzheimer's disease,gait disorders,associated_with,"Alzheimer's disease and cognitive 
impairment",gait disorders,"ObjectiveTo analyse the benefits of virtual reality in the management of balance 
and [E2] gait disorders [/E2] in people with [E1] Alzheimer's disease and cognitive 
impairment [/E1]."
"The inclusion criteria were: 
randomised, cross-sectional, quasi-experimental controlled clinical trials 
involving patients diagnosed with mild cognitive impairment, dementia and 
Alzheimer's disease with a score of Ã¢Â?3 on the MMSE test and age Ã¢Â?0 years, and 
interventions conducted with virtual reality and conventional physiotherapy for 
the treatment of balance and gait disorders.",Alzheimer's disease,dementia,ambiguous,Alzheimer's disease,dementia,"The inclusion criteria were: 
randomised, cross-sectional, quasi-experimental controlled clinical trials 
involving patients diagnosed with mild cognitive impairment, [E2] dementia [/E2] and 
[E1] Alzheimer's disease [/E1] with a score of Ã¢Â?3 on the MMSE test and age Ã¢Â?0 years, and 
interventions conducted with virtual reality and conventional physiotherapy for 
the treatment of balance and gait disorders."
"The inclusion criteria were: 
randomised, cross-sectional, quasi-experimental controlled clinical trials 
involving patients diagnosed with mild cognitive impairment, dementia and 
Alzheimer's disease with a score of Ã¢Â?3 on the MMSE test and age Ã¢Â?0 years, and 
interventions conducted with virtual reality and conventional physiotherapy for 
the treatment of balance and gait disorders.",Alzheimer's disease,cognitive impairment,ambiguous,Alzheimer's disease,cognitive impairment,"The inclusion criteria were: 
randomised, cross-sectional, quasi-experimental controlled clinical trials 
involving patients diagnosed with mild [E2] cognitive impairment [/E2], dementia and 
[E1] Alzheimer's disease [/E1] with a score of Ã¢Â?3 on the MMSE test and age Ã¢Â?0 years, and 
interventions conducted with virtual reality and conventional physiotherapy for 
the treatment of balance and gait disorders."
"The inclusion criteria were: 
randomised, cross-sectional, quasi-experimental controlled clinical trials 
involving patients diagnosed with mild cognitive impairment, dementia and 
Alzheimer's disease with a score of Ã¢Â?3 on the MMSE test and age Ã¢Â?0 years, and 
interventions conducted with virtual reality and conventional physiotherapy for 
the treatment of balance and gait disorders.",Alzheimer's disease,gait disorders,ambiguous,Alzheimer's disease,gait disorders,"The inclusion criteria were: 
randomised, cross-sectional, quasi-experimental controlled clinical trials 
involving patients diagnosed with mild cognitive impairment, dementia and 
[E1] Alzheimer's disease [/E1] with a score of Ã¢Â?3 on the MMSE test and age Ã¢Â?0 years, and 
interventions conducted with virtual reality and conventional physiotherapy for 
the treatment of balance and [E2] gait disorders [/E2]."
"ConclusionStudies suggest that 
interventions based on virtual environments in older adults with early 
Alzheimer's disease can improve balance and gait impairments, postural control 
and executive function, delaying the deterioration caused by the disease.",Alzheimer's disease,gait impairments,associated_with,Alzheimer's disease,gait impairments,"ConclusionStudies suggest that 
interventions based on virtual environments in older adults with early 
[E1] Alzheimer's disease [/E1] can improve balance and [E2] gait impairments [/E2], postural control 
and executive function, delaying the deterioration caused by the disease."
"Elevated levels of circulating C1R protein increased the odds of 
developing Alzheimer's disease (AD), while PILRA and CELA2A were estimated to 
protect against the pathogenesis of AD; genetically predicted increase of 
ÃÂ±-synuclein and APOE elevated the occurrence of Dementia of Lewy Bodies (DLB); 
elevated level of circulating CRP was assessed to increase the onset of vascular 
dementia (VD).",Alzheimer's disease,ad,equivalent,Alzheimer's disease,AD,"Elevated levels of circulating C1R protein increased the odds of 
developing [E1] Alzheimer's disease [/E1] ([E2] AD [/E2]), while PILRA and CELA2A were estimated to 
protect against the pathogenesis of AD; genetically predicted increase of 
ÃÂ±-synuclein and APOE elevated the occurrence of Dementia of Lewy Bodies (DLB); 
elevated level of circulating CRP was assessed to increase the onset of vascular 
dementia (VD)."
"Elevated levels of circulating C1R protein increased the odds of 
developing Alzheimer's disease (AD), while PILRA and CELA2A were estimated to 
protect against the pathogenesis of AD; genetically predicted increase of 
ÃÂ±-synuclein and APOE elevated the occurrence of Dementia of Lewy Bodies (DLB); 
elevated level of circulating CRP was assessed to increase the onset of vascular 
dementia (VD).",Alzheimer's disease,dlb,ambiguous,Alzheimer's disease,DLB,"Elevated levels of circulating C1R protein increased the odds of 
developing [E1] Alzheimer's disease [/E1] (AD), while PILRA and CELA2A were estimated to 
protect against the pathogenesis of AD; genetically predicted increase of 
ÃÂ±-synuclein and APOE elevated the occurrence of Dementia of Lewy Bodies ([E2] DLB [/E2]); 
elevated level of circulating CRP was assessed to increase the onset of vascular 
dementia (VD)."
"Elevated levels of circulating C1R protein increased the odds of 
developing Alzheimer's disease (AD), while PILRA and CELA2A were estimated to 
protect against the pathogenesis of AD; genetically predicted increase of 
ÃÂ±-synuclein and APOE elevated the occurrence of Dementia of Lewy Bodies (DLB); 
elevated level of circulating CRP was assessed to increase the onset of vascular 
dementia (VD).",Alzheimer's disease,dementia,ambiguous,Alzheimer's disease,Dementia,"Elevated levels of circulating C1R protein increased the odds of 
developing [E1] Alzheimer's disease [/E1] (AD), while PILRA and CELA2A were estimated to 
protect against the pathogenesis of AD; genetically predicted increase of 
ÃÂ±-synuclein and APOE elevated the occurrence of [E2] Dementia [/E2] of Lewy Bodies (DLB); 
elevated level of circulating CRP was assessed to increase the onset of vascular 
dementia (VD)."
"Alzheimer's Disease (AD) is a neurodegenerative condition 
characterised by cognitive decline and memory impairment.",Alzheimer's disease,ad,equivalent,Alzheimer's Disease,AD,"[E1] Alzheimer's Disease [/E1] ([E2] AD [/E2]) is a neurodegenerative condition 
characterised by cognitive decline and memory impairment."
"Alzheimer's Disease (AD) is a neurodegenerative condition 
characterised by cognitive decline and memory impairment.",Alzheimer's disease,memory impairment,associated_with,Alzheimer's Disease,memory impairment,"[E1] Alzheimer's Disease [/E1] (AD) is a neurodegenerative condition 
characterised by cognitive decline and [E2] memory impairment [/E2]."
"Alzheimer's Disease (AD) is a neurodegenerative condition 
characterised by cognitive decline and memory impairment.",Alzheimer's disease,cognitive decline,associated_with,Alzheimer's Disease,cognitive decline,"[E1] Alzheimer's Disease [/E1] (AD) is a neurodegenerative condition 
characterised by [E2] cognitive decline [/E2] and memory impairment."
"Alzheimer's disease (AD), a prevalent neurodegenerative disorder, represents a 
significant global health challenge, characterized by cognitive decline and 
neuroinflammation.",Alzheimer's disease,ad,equivalent,Alzheimer's disease,AD,"[E1] Alzheimer's disease [/E1] ([E2] AD [/E2]), a prevalent neurodegenerative disorder, represents a 
significant global health challenge, characterized by cognitive decline and 
neuroinflammation."
"Alzheimer's disease (AD), a prevalent neurodegenerative disorder, represents a 
significant global health challenge, characterized by cognitive decline and 
neuroinflammation.",Alzheimer's disease,neuroinflammation,associated_with,Alzheimer's disease,neuroinflammation,"[E1] Alzheimer's disease [/E1] (AD), a prevalent neurodegenerative disorder, represents a 
significant global health challenge, characterized by cognitive decline and 
[E2] neuroinflammation [/E2]."
"Alzheimer's disease (AD), a prevalent neurodegenerative disorder, represents a 
significant global health challenge, characterized by cognitive decline and 
neuroinflammation.",Alzheimer's disease,cognitive decline,associated_with,Alzheimer's disease,cognitive decline,"[E1] Alzheimer's disease [/E1] (AD), a prevalent neurodegenerative disorder, represents a 
significant global health challenge, characterized by [E2] cognitive decline [/E2] and 
neuroinflammation."
"Alzheimer's disease (AD), a prevalent neurodegenerative disorder, represents a 
significant global health challenge, characterized by cognitive decline and 
neuroinflammation.",Alzheimer's disease,neurodegenerative disorder,associated_with,Alzheimer's disease,neurodegenerative disorder,"[E1] Alzheimer's disease [/E1] (AD), a prevalent [E2] neurodegenerative disorder [/E2], represents a 
significant global health challenge, characterized by cognitive decline and 
neuroinflammation."
"Genes related to Alzheimer's 
disease (AD), Parkinson's disease (PD), and Huntington's disease (HD) were 
gathered using online databases.",Alzheimer's disease,ad,equivalent,"Alzheimer's 
disease",AD,"Genes related to [E1] Alzheimer's 
disease [/E1] ([E2] AD [/E2]), Parkinson's disease (PD), and Huntington's disease (HD) were 
gathered using online databases."
"Genes related to Alzheimer's 
disease (AD), Parkinson's disease (PD), and Huntington's disease (HD) were 
gathered using online databases.",Alzheimer's disease,pd,ambiguous,"Alzheimer's 
disease",PD,"Genes related to [E1] Alzheimer's 
disease [/E1] (AD), Parkinson's disease ([E2] PD [/E2]), and Huntington's disease (HD) were 
gathered using online databases."
"Genes related to Alzheimer's 
disease (AD), Parkinson's disease (PD), and Huntington's disease (HD) were 
gathered using online databases.",Alzheimer's disease,huntington's disease,ambiguous,"Alzheimer's 
disease",Huntington's disease,"Genes related to [E1] Alzheimer's 
disease [/E1] (AD), Parkinson's disease (PD), and [E2] Huntington's disease [/E2] (HD) were 
gathered using online databases."
"Genes related to Alzheimer's 
disease (AD), Parkinson's disease (PD), and Huntington's disease (HD) were 
gathered using online databases.",Alzheimer's disease,hd,ambiguous,"Alzheimer's 
disease",HD,"Genes related to [E1] Alzheimer's 
disease [/E1] (AD), Parkinson's disease (PD), and Huntington's disease ([E2] HD [/E2]) were 
gathered using online databases."
"Genes related to Alzheimer's 
disease (AD), Parkinson's disease (PD), and Huntington's disease (HD) were 
gathered using online databases.",Alzheimer's disease,parkinson's disease,ambiguous,"Alzheimer's 
disease",Parkinson's disease,"Genes related to [E1] Alzheimer's 
disease [/E1] (AD), [E2] Parkinson's disease [/E2] (PD), and Huntington's disease (HD) were 
gathered using online databases."
"We highlight key 
innovations in EVs' molecular design, characterization, and deployment for 
treating diseases including Alzheimer's disease, infectious diseases, and 
cancers.",Alzheimer's disease,cancers,ambiguous,Alzheimer's disease,cancers,"We highlight key 
innovations in EVs' molecular design, characterization, and deployment for 
treating diseases including [E1] Alzheimer's disease [/E1], infectious diseases, and 
[E2] cancers [/E2]."
"We invited experts 
in the study of Alzheimer's disease and Related Disorders (ADRDs) to express 
their views on this paradigmatic shift in dementia management.",Alzheimer's disease,dementia,associated_with,Alzheimer's disease,dementia,"We invited experts 
in the study of [E1] Alzheimer's disease [/E1] and Related Disorders (ADRDs) to express 
their views on this paradigmatic shift in [E2] dementia [/E2] management."
"This breakthrough could influence 
the development of therapeutic leads for combating diabetes, cancer, and 
Alzheimer's disease.",Alzheimer's disease,"diabetes, cancer",ambiguous,Alzheimer's disease,"diabetes, cancer","This breakthrough could influence 
the development of therapeutic leads for combating [E2] diabetes, cancer [/E2], and 
[E1] Alzheimer's disease [/E1]."
"This review proposes a discussion on: (1) the complex role of 
distinct phenotypes of enteric glial cells involved in neurodegenerative 
diseases, such as Parkinson's disease (PD), Alzheimer's disease (AD), 
amyotrophic lateral sclerosis (ALS), Huntington's disease (HD) and multiple 
sclerosis (MS); and (2) innovative strategies such as IDO/TDO inhibitors, Brazil 
nuts, caffeic acid, polyphenols, among others, that act on EGCs and have the 
potential to treat neurodegenerative diseases.",Alzheimer's disease,neurodegenerative diseases,associated_with,Alzheimer's disease,neurodegenerative diseases,"This review proposes a discussion on: (1) the complex role of 
distinct phenotypes of enteric glial cells involved in neurodegenerative 
diseases, such as Parkinson's disease (PD), [E1] Alzheimer's disease [/E1] (AD), 
amyotrophic lateral sclerosis (ALS), Huntington's disease (HD) and multiple 
sclerosis (MS); and (2) innovative strategies such as IDO/TDO inhibitors, Brazil 
nuts, caffeic acid, polyphenols, among others, that act on EGCs and have the 
potential to treat [E2] neurodegenerative diseases [/E2]."
"This review proposes a discussion on: (1) the complex role of 
distinct phenotypes of enteric glial cells involved in neurodegenerative 
diseases, such as Parkinson's disease (PD), Alzheimer's disease (AD), 
amyotrophic lateral sclerosis (ALS), Huntington's disease (HD) and multiple 
sclerosis (MS); and (2) innovative strategies such as IDO/TDO inhibitors, Brazil 
nuts, caffeic acid, polyphenols, among others, that act on EGCs and have the 
potential to treat neurodegenerative diseases.",Alzheimer's disease,amyotrophic lateral sclerosis,ambiguous,Alzheimer's disease,amyotrophic lateral sclerosis,"This review proposes a discussion on: (1) the complex role of 
distinct phenotypes of enteric glial cells involved in neurodegenerative 
diseases, such as Parkinson's disease (PD), [E1] Alzheimer's disease [/E1] (AD), 
[E2] amyotrophic lateral sclerosis [/E2] (ALS), Huntington's disease (HD) and multiple 
sclerosis (MS); and (2) innovative strategies such as IDO/TDO inhibitors, Brazil 
nuts, caffeic acid, polyphenols, among others, that act on EGCs and have the 
potential to treat neurodegenerative diseases."
"This review proposes a discussion on: (1) the complex role of 
distinct phenotypes of enteric glial cells involved in neurodegenerative 
diseases, such as Parkinson's disease (PD), Alzheimer's disease (AD), 
amyotrophic lateral sclerosis (ALS), Huntington's disease (HD) and multiple 
sclerosis (MS); and (2) innovative strategies such as IDO/TDO inhibitors, Brazil 
nuts, caffeic acid, polyphenols, among others, that act on EGCs and have the 
potential to treat neurodegenerative diseases.",Alzheimer's disease,ad,equivalent,Alzheimer's disease,AD,"This review proposes a discussion on: (1) the complex role of 
distinct phenotypes of enteric glial cells involved in neurodegenerative 
diseases, such as Parkinson's disease (PD), [E1] Alzheimer's disease [/E1] ([E2] AD [/E2]), 
amyotrophic lateral sclerosis (ALS), Huntington's disease (HD) and multiple 
sclerosis (MS); and (2) innovative strategies such as IDO/TDO inhibitors, Brazil 
nuts, caffeic acid, polyphenols, among others, that act on EGCs and have the 
potential to treat neurodegenerative diseases."
"This review proposes a discussion on: (1) the complex role of 
distinct phenotypes of enteric glial cells involved in neurodegenerative 
diseases, such as Parkinson's disease (PD), Alzheimer's disease (AD), 
amyotrophic lateral sclerosis (ALS), Huntington's disease (HD) and multiple 
sclerosis (MS); and (2) innovative strategies such as IDO/TDO inhibitors, Brazil 
nuts, caffeic acid, polyphenols, among others, that act on EGCs and have the 
potential to treat neurodegenerative diseases.",Alzheimer's disease,pd,ambiguous,Alzheimer's disease,PD,"This review proposes a discussion on: (1) the complex role of 
distinct phenotypes of enteric glial cells involved in neurodegenerative 
diseases, such as Parkinson's disease ([E2] PD [/E2]), [E1] Alzheimer's disease [/E1] (AD), 
amyotrophic lateral sclerosis (ALS), Huntington's disease (HD) and multiple 
sclerosis (MS); and (2) innovative strategies such as IDO/TDO inhibitors, Brazil 
nuts, caffeic acid, polyphenols, among others, that act on EGCs and have the 
potential to treat neurodegenerative diseases."
"This review proposes a discussion on: (1) the complex role of 
distinct phenotypes of enteric glial cells involved in neurodegenerative 
diseases, such as Parkinson's disease (PD), Alzheimer's disease (AD), 
amyotrophic lateral sclerosis (ALS), Huntington's disease (HD) and multiple 
sclerosis (MS); and (2) innovative strategies such as IDO/TDO inhibitors, Brazil 
nuts, caffeic acid, polyphenols, among others, that act on EGCs and have the 
potential to treat neurodegenerative diseases.",Alzheimer's disease,huntington's disease,ambiguous,Alzheimer's disease,Huntington's disease,"This review proposes a discussion on: (1) the complex role of 
distinct phenotypes of enteric glial cells involved in neurodegenerative 
diseases, such as Parkinson's disease (PD), [E1] Alzheimer's disease [/E1] (AD), 
amyotrophic lateral sclerosis (ALS), [E2] Huntington's disease [/E2] (HD) and multiple 
sclerosis (MS); and (2) innovative strategies such as IDO/TDO inhibitors, Brazil 
nuts, caffeic acid, polyphenols, among others, that act on EGCs and have the 
potential to treat neurodegenerative diseases."
"This review proposes a discussion on: (1) the complex role of 
distinct phenotypes of enteric glial cells involved in neurodegenerative 
diseases, such as Parkinson's disease (PD), Alzheimer's disease (AD), 
amyotrophic lateral sclerosis (ALS), Huntington's disease (HD) and multiple 
sclerosis (MS); and (2) innovative strategies such as IDO/TDO inhibitors, Brazil 
nuts, caffeic acid, polyphenols, among others, that act on EGCs and have the 
potential to treat neurodegenerative diseases.",Alzheimer's disease,hd,ambiguous,Alzheimer's disease,HD,"This review proposes a discussion on: (1) the complex role of 
distinct phenotypes of enteric glial cells involved in neurodegenerative 
diseases, such as Parkinson's disease (PD), [E1] Alzheimer's disease [/E1] (AD), 
amyotrophic lateral sclerosis (ALS), Huntington's disease ([E2] HD [/E2]) and multiple 
sclerosis (MS); and (2) innovative strategies such as IDO/TDO inhibitors, Brazil 
nuts, caffeic acid, polyphenols, among others, that act on EGCs and have the 
potential to treat neurodegenerative diseases."
"This review proposes a discussion on: (1) the complex role of 
distinct phenotypes of enteric glial cells involved in neurodegenerative 
diseases, such as Parkinson's disease (PD), Alzheimer's disease (AD), 
amyotrophic lateral sclerosis (ALS), Huntington's disease (HD) and multiple 
sclerosis (MS); and (2) innovative strategies such as IDO/TDO inhibitors, Brazil 
nuts, caffeic acid, polyphenols, among others, that act on EGCs and have the 
potential to treat neurodegenerative diseases.",Alzheimer's disease,parkinson's disease,ambiguous,Alzheimer's disease,Parkinson's disease,"This review proposes a discussion on: (1) the complex role of 
distinct phenotypes of enteric glial cells involved in neurodegenerative 
diseases, such as [E2] Parkinson's disease [/E2] (PD), [E1] Alzheimer's disease [/E1] (AD), 
amyotrophic lateral sclerosis (ALS), Huntington's disease (HD) and multiple 
sclerosis (MS); and (2) innovative strategies such as IDO/TDO inhibitors, Brazil 
nuts, caffeic acid, polyphenols, among others, that act on EGCs and have the 
potential to treat neurodegenerative diseases."
"This review proposes a discussion on: (1) the complex role of 
distinct phenotypes of enteric glial cells involved in neurodegenerative 
diseases, such as Parkinson's disease (PD), Alzheimer's disease (AD), 
amyotrophic lateral sclerosis (ALS), Huntington's disease (HD) and multiple 
sclerosis (MS); and (2) innovative strategies such as IDO/TDO inhibitors, Brazil 
nuts, caffeic acid, polyphenols, among others, that act on EGCs and have the 
potential to treat neurodegenerative diseases.",Alzheimer's disease,als,ambiguous,Alzheimer's disease,ALS,"This review proposes a discussion on: (1) the complex role of 
distinct phenotypes of enteric glial cells involved in neurodegenerative 
diseases, such as Parkinson's disease (PD), [E1] Alzheimer's disease [/E1] (AD), 
amyotrophic lateral sclerosis ([E2] ALS [/E2]), Huntington's disease (HD) and multiple 
sclerosis (MS); and (2) innovative strategies such as IDO/TDO inhibitors, Brazil 
nuts, caffeic acid, polyphenols, among others, that act on EGCs and have the 
potential to treat neurodegenerative diseases."
"Chronic exposure to herbicides, weedicides, and pesticides is associated with 
the onset and progress of neurodegenerative disorders such as Parkinson's 
disease (PD), Alzheimer's disease (AD), and Amyotrophic Lateral Sclerosis (ALS).",Alzheimer's disease,ad,equivalent,Alzheimer's disease,AD,"Chronic exposure to herbicides, weedicides, and pesticides is associated with 
the onset and progress of neurodegenerative disorders such as Parkinson's 
disease (PD), [E1] Alzheimer's disease [/E1] ([E2] AD [/E2]), and Amyotrophic Lateral Sclerosis (ALS)."
"Chronic exposure to herbicides, weedicides, and pesticides is associated with 
the onset and progress of neurodegenerative disorders such as Parkinson's 
disease (PD), Alzheimer's disease (AD), and Amyotrophic Lateral Sclerosis (ALS).",Alzheimer's disease,pd,ambiguous,Alzheimer's disease,PD,"Chronic exposure to herbicides, weedicides, and pesticides is associated with 
the onset and progress of neurodegenerative disorders such as Parkinson's 
disease ([E2] PD [/E2]), [E1] Alzheimer's disease [/E1] (AD), and Amyotrophic Lateral Sclerosis (ALS)."
"Chronic exposure to herbicides, weedicides, and pesticides is associated with 
the onset and progress of neurodegenerative disorders such as Parkinson's 
disease (PD), Alzheimer's disease (AD), and Amyotrophic Lateral Sclerosis (ALS).",Alzheimer's disease,"parkinson's 
disease",ambiguous,Alzheimer's disease,"Parkinson's 
disease","Chronic exposure to herbicides, weedicides, and pesticides is associated with 
the onset and progress of neurodegenerative disorders such as [E2] Parkinson's 
disease [/E2] (PD), [E1] Alzheimer's disease [/E1] (AD), and Amyotrophic Lateral Sclerosis (ALS)."
"Chronic exposure to herbicides, weedicides, and pesticides is associated with 
the onset and progress of neurodegenerative disorders such as Parkinson's 
disease (PD), Alzheimer's disease (AD), and Amyotrophic Lateral Sclerosis (ALS).",Alzheimer's disease,neurodegenerative disorders,associated_with,Alzheimer's disease,neurodegenerative disorders,"Chronic exposure to herbicides, weedicides, and pesticides is associated with 
the onset and progress of [E2] neurodegenerative disorders [/E2] such as Parkinson's 
disease (PD), [E1] Alzheimer's disease [/E1] (AD), and Amyotrophic Lateral Sclerosis (ALS)."
"Chronic exposure to herbicides, weedicides, and pesticides is associated with 
the onset and progress of neurodegenerative disorders such as Parkinson's 
disease (PD), Alzheimer's disease (AD), and Amyotrophic Lateral Sclerosis (ALS).",Alzheimer's disease,als,ambiguous,Alzheimer's disease,ALS,"Chronic exposure to herbicides, weedicides, and pesticides is associated with 
the onset and progress of neurodegenerative disorders such as Parkinson's 
disease (PD), [E1] Alzheimer's disease [/E1] (AD), and Amyotrophic Lateral Sclerosis ([E2] ALS [/E2])."
